ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
2025-01-01 00:00:01.950,C2931,192.168.1.165,33892,172.16.0.126,632,icmp,http,22.81,3869,43387,SF,T,T,32,Hr,16,56153,95,4946
2025-01-01 00:00:01.980,C3578,192.168.1.173,5623,172.16.0.2,262,udp,http,58.99,52495,56290,RSTR,F,T,3,Srv,62,27946,37,12785
2025-01-01 00:00:02.010,C1457,192.168.1.181,39659,172.16.0.105,1005,udp,dns,25.36,84278,26610,REJ,T,F,71,Dd,89,16200,13,13289
2025-01-01 00:00:02.040,C4349,192.168.1.109,37895,172.16.0.172,784,tcp,ftp,140.54,52701,27362,S0,T,T,40,Dd,94,1257,30,50048
2025-01-01 00:00:02.070,C8884,192.168.1.60,42573,172.16.0.141,58,icmp,http,116.94,96824,44559,S1,T,F,9,Dd,60,53375,15,16594
2025-01-01 00:00:02.100,C2685,192.168.1.239,7990,172.16.0.23,545,tcp,http,248.67,97830,24257,S1,T,T,70,Hr,44,19146,77,56167
2025-01-01 00:00:02.130,C7754,192.168.1.159,55327,172.16.0.101,907,icmp,dns,52.07,89208,52881,S1,F,T,24,Hr,97,10845,59,5839
2025-01-01 00:00:02.160,C5438,192.168.1.229,6334,172.16.0.77,209,icmp,http,37.75,18400,32473,S1,T,F,85,Srv,5,56312,77,17974
2025-01-01 00:00:02.190,C9430,192.168.1.243,14841,172.16.0.167,991,tcp,http,236.51,28316,89012,S1,T,T,19,Fa,37,20725,86,28667
2025-01-01 00:00:02.220,C6883,192.168.1.176,41866,172.16.0.252,627,icmp,-,270.94,30670,21247,REJ,F,T,2,Dd,16,770,3,60094
2025-01-01 00:00:02.250,C5763,192.168.1.230,56003,172.16.0.182,426,udp,ssh,30.37,64424,97555,SH,F,T,83,Fa,58,39775,86,52851
2025-01-01 00:00:02.280,C4580,192.168.1.5,34780,172.16.0.114,503,udp,ssl,166.04,66112,81532,REJ,F,T,96,Hr,26,3083,17,56016
2025-01-01 00:00:02.310,C1400,192.168.1.23,13991,172.16.0.216,1022,udp,ssh,36.53,81204,45874,RSTR,T,T,63,Srv,51,52204,44,59691
2025-01-01 00:00:02.340,C4801,192.168.1.197,26509,172.16.0.155,811,icmp,http,93.02,53458,95993,S0,F,F,98,Hr,6,12510,62,29005
2025-01-01 00:00:02.370,C8853,192.168.1.204,60906,172.16.0.139,618,udp,ftp,215.97,78935,70597,SF,F,T,96,Srv,27,17409,38,4759
2025-01-01 00:00:02.400,C2355,192.168.1.124,57185,172.16.0.80,139,icmp,ssl,84.13,29889,43446,S1,T,F,1,Srv,25,1156,47,68
2025-01-01 00:00:02.430,C3468,192.168.1.57,50715,172.16.0.173,985,icmp,dns,123.7,36941,61073,RSTR,T,T,30,Hr,77,11155,51,60887
2025-01-01 00:00:02.460,C8724,192.168.1.211,29312,172.16.0.47,895,udp,ssl,252.35,71322,64281,S0,F,T,67,Dd,71,41510,44,19584
2025-01-01 00:00:02.490,C4708,192.168.1.187,61883,172.16.0.188,908,tcp,dns,125.84,5406,36642,REJ,T,T,64,Srv,90,48121,90,5518
2025-01-01 00:00:02.520,C5524,192.168.1.46,58534,172.16.0.87,174,tcp,ssh,57.35,15586,36427,SH,T,T,37,Hr,32,28783,7,38162
2025-01-01 00:00:02.550,C9936,192.168.1.9,42692,172.16.0.230,957,udp,dns,165.6,45447,11720,SF,F,F,95,Dd,84,58956,13,64327
2025-01-01 00:00:02.580,C4655,192.168.1.114,55751,172.16.0.21,239,icmp,ssh,243.22,56726,58222,SH,T,F,73,Fa,29,62018,28,1011
2025-01-01 00:00:02.610,C4552,192.168.1.183,45078,172.16.0.202,289,tcp,-,288.53,96398,38589,REJ,T,F,77,ShAD,22,27727,67,51202
2025-01-01 00:00:02.640,C8996,192.168.1.160,15503,172.16.0.104,998,udp,http,67.01,72012,9276,S0,T,F,7,ShAD,32,41882,85,53550
2025-01-01 00:00:02.670,C6357,192.168.1.155,19097,172.16.0.222,508,icmp,ftp,282.84,9633,49993,REJ,T,T,33,ShAD,86,49546,86,4310
2025-01-01 00:00:02.700,C1227,192.168.1.48,7246,172.16.0.78,1000,icmp,ftp,86.21,81935,45693,SF,F,F,22,ShAD,42,13448,95,9330
2025-01-01 00:00:02.730,C3012,192.168.1.157,23364,172.16.0.77,289,udp,ssh,299.78,60464,67203,RSTR,F,F,63,Fa,64,18066,80,42999
2025-01-01 00:00:02.760,C7543,192.168.1.101,32744,172.16.0.245,843,tcp,http,236.78,81360,77884,REJ,T,T,33,Hr,79,27782,66,1377
2025-01-01 00:00:02.790,C3499,192.168.1.204,46791,172.16.0.124,235,udp,http,264.67,96349,34463,SF,T,F,82,Dd,9,1229,62,21415
2025-01-01 00:00:02.820,C4646,192.168.1.105,25655,172.16.0.208,829,tcp,-,166.92,83677,13017,SF,F,F,24,ShAD,86,39706,41,4211
2025-01-01 00:00:02.850,C3002,192.168.1.80,34720,172.16.0.202,936,udp,-,129.31,75260,45389,SF,T,T,41,Hr,10,54007,61,41744
2025-01-01 00:00:02.880,C9353,192.168.1.102,12737,172.16.0.49,423,udp,http,296.95,71460,52291,SF,T,T,25,Srv,49,58411,80,52490
2025-01-01 00:00:02.910,C5257,192.168.1.129,36015,172.16.0.141,443,tcp,ftp,56.98,60013,48800,REJ,T,F,66,Srv,24,2114,89,22264
2025-01-01 00:00:02.940,C8772,192.168.1.212,6845,172.16.0.16,864,tcp,dns,142.89,42229,86804,SF,F,F,3,Fa,37,29138,43,25555
2025-01-01 00:00:02.970,C7609,192.168.1.9,53698,172.16.0.127,557,icmp,ssl,6.73,3811,76929,RSTR,T,F,11,Dd,86,26055,62,32538
2025-01-01 00:00:03.000,C5779,192.168.1.145,44870,172.16.0.183,431,udp,ftp,135.02,1437,80206,SH,T,F,89,ShAD,50,6502,44,41445
2025-01-01 00:00:03.030,C7604,192.168.1.87,28971,172.16.0.198,241,icmp,ssh,154.24,62172,47629,S1,T,T,78,Fa,65,19338,89,58261
2025-01-01 00:00:03.060,C9610,192.168.1.188,10794,172.16.0.173,577,tcp,-,69.66,20806,53122,RSTR,F,F,2,Fa,9,3205,38,23917
2025-01-01 00:00:03.090,C7250,192.168.1.109,42653,172.16.0.107,212,icmp,ftp,285.58,17456,95626,S0,T,F,7,Dd,96,34529,7,17348
2025-01-01 00:00:03.120,C6661,192.168.1.46,31931,172.16.0.153,708,udp,ftp,109.81,35063,50153,SH,T,F,18,Srv,6,60160,10,48562
2025-01-01 00:00:03.150,C2243,192.168.1.212,57452,172.16.0.43,617,icmp,http,186.94,91062,73126,RSTR,T,F,59,ShAD,29,18344,4,10472
2025-01-01 00:00:03.180,C2521,192.168.1.27,31721,172.16.0.251,325,udp,ftp,275.01,38569,2544,REJ,T,F,71,Dd,89,36162,57,49229
2025-01-01 00:00:03.210,C2112,192.168.1.65,35704,172.16.0.153,826,icmp,-,144.81,28900,14358,S0,T,F,85,Fa,57,62024,28,23928
2025-01-01 00:00:03.240,C8885,192.168.1.86,5091,172.16.0.246,235,tcp,ssh,204.21,8578,83017,SH,F,F,32,ShAD,39,10700,67,47216
2025-01-01 00:00:03.270,C4302,192.168.1.237,46141,172.16.0.234,914,icmp,-,188.94,4684,36633,S1,F,T,65,ShAD,37,16620,64,28755
2025-01-01 00:00:03.300,C6645,192.168.1.9,2457,172.16.0.241,24,udp,dns,31.73,3997,70515,S1,T,T,11,Srv,87,39593,27,50525
2025-01-01 00:00:03.330,C1148,192.168.1.194,15627,172.16.0.217,546,icmp,ftp,235.12,44300,46918,RSTR,F,T,39,Fa,10,47959,38,50764
2025-01-01 00:00:03.360,C3406,192.168.1.59,32911,172.16.0.6,223,udp,ssl,2.89,12036,79285,S0,F,F,86,ShAD,39,22322,97,13796
2025-01-01 00:00:03.390,C9816,192.168.1.111,49702,172.16.0.2,257,udp,http,155.98,42317,18721,S0,T,F,81,Hr,65,31865,90,41271
2025-01-01 00:00:03.420,C6513,192.168.1.1,52631,172.16.0.5,717,tcp,-,42.59,34218,48954,SH,T,F,21,Hr,50,1171,23,40241
2025-01-01 00:00:03.450,C9136,192.168.1.93,15983,172.16.0.204,97,icmp,-,181.34,24350,37531,SF,T,F,30,Fa,17,30173,16,34879
2025-01-01 00:00:03.480,C4275,192.168.1.209,29729,172.16.0.146,55,icmp,ssl,295.78,97590,47690,RSTR,T,F,45,Dd,93,46891,2,63141
2025-01-01 00:00:03.510,C6587,192.168.1.28,11570,172.16.0.93,671,tcp,ssl,143.61,67395,62217,RSTR,F,F,51,Fa,19,42032,25,7224
2025-01-01 00:00:03.540,C4878,192.168.1.108,50081,172.16.0.121,940,tcp,http,132.5,38094,20072,SF,T,F,23,Dd,98,25044,64,53072
2025-01-01 00:00:03.570,C3460,192.168.1.117,47275,172.16.0.46,425,icmp,-,273.77,99716,97092,SH,T,F,55,Srv,71,52741,99,37100
2025-01-01 00:00:03.600,C3187,192.168.1.213,23656,172.16.0.2,130,icmp,-,198.21,20429,99371,SF,F,F,54,ShAD,36,5204,49,5943
2025-01-01 00:00:03.630,C9368,192.168.1.239,64571,172.16.0.163,483,icmp,ssl,277.51,99383,42272,S0,T,T,83,Dd,22,37779,67,5469
2025-01-01 00:00:03.660,C7906,192.168.1.52,53477,172.16.0.121,30,icmp,dns,267.85,88048,39944,RSTR,F,F,29,Dd,56,60274,41,64303
2025-01-01 00:00:03.690,C3974,192.168.1.130,14955,172.16.0.50,286,tcp,http,286.09,26461,55191,SF,T,T,25,ShAD,41,32633,86,9576
2025-01-01 00:00:03.720,C5894,192.168.1.150,12123,172.16.0.137,926,icmp,ssh,35.8,60986,9063,S0,T,T,15,Hr,51,30817,85,50731
2025-01-01 00:00:03.750,C7209,192.168.1.12,17871,172.16.0.171,545,udp,ssl,234.86,21481,13770,SF,F,F,72,ShAD,51,52535,87,12496
2025-01-01 00:00:03.780,C5458,192.168.1.158,22657,172.16.0.233,557,tcp,ssh,215.75,76982,25731,S0,T,F,2,ShAD,4,36757,72,52846
2025-01-01 00:00:03.810,C7293,192.168.1.248,47755,172.16.0.3,278,tcp,http,210.08,60003,62080,REJ,T,F,43,Dd,29,35631,15,15377
2025-01-01 00:00:03.840,C8025,192.168.1.85,26312,172.16.0.38,418,tcp,ssl,170.66,80404,76689,REJ,F,T,93,Fa,72,23817,87,9444
2025-01-01 00:00:03.870,C9421,192.168.1.114,24150,172.16.0.45,890,udp,dns,70.31,7284,4930,REJ,F,F,91,Fa,35,10414,59,59407
2025-01-01 00:00:03.900,C4023,192.168.1.137,64279,172.16.0.243,503,icmp,-,111.19,82481,41339,RSTR,F,T,68,Hr,29,6816,50,61946
2025-01-01 00:00:03.930,C5612,192.168.1.153,44577,172.16.0.238,935,tcp,-,44.2,24004,94676,REJ,T,F,43,Fa,58,58943,26,2196
2025-01-01 00:00:03.960,C6692,192.168.1.211,30918,172.16.0.92,858,udp,http,145.71,150,27138,SH,T,T,41,Srv,94,9258,95,35432
2025-01-01 00:00:03.990,C8972,192.168.1.63,60977,172.16.0.235,389,udp,http,3.87,73047,34284,SH,T,T,88,Fa,93,63915,67,38554
2025-01-01 00:00:04.020,C5916,192.168.1.73,63964,172.16.0.85,700,udp,http,262.93,2756,79615,S1,F,T,88,Fa,84,31135,64,17704
2025-01-01 00:00:04.050,C2058,192.168.1.254,12229,172.16.0.9,510,icmp,http,55.87,74587,3392,S1,F,F,92,Fa,20,52039,82,47548
2025-01-01 00:00:04.080,C2163,192.168.1.33,55327,172.16.0.153,863,tcp,dns,19.89,45697,16464,SH,F,T,52,Srv,32,42814,69,48698
2025-01-01 00:00:04.110,C9096,192.168.1.170,16606,172.16.0.120,1011,tcp,ssl,44.5,54968,21947,RSTR,T,F,81,ShAD,61,58075,53,11709
2025-01-01 00:00:04.140,C9498,192.168.1.166,42006,172.16.0.38,799,udp,ftp,20.47,23132,73156,S1,F,T,96,Fa,19,43474,72,58186
2025-01-01 00:00:04.170,C5072,192.168.1.182,48561,172.16.0.164,352,icmp,ssh,24.06,81375,15928,S1,F,T,58,Fa,96,8801,66,38807
2025-01-01 00:00:04.200,C2624,192.168.1.187,12634,172.16.0.205,28,udp,ssh,186.67,1467,80132,S0,F,T,0,Fa,46,37423,71,30443
2025-01-01 00:00:04.230,C1058,192.168.1.245,62190,172.16.0.254,588,tcp,ftp,197.11,37938,33250,REJ,T,T,41,Srv,17,2769,64,11553
2025-01-01 00:00:04.260,C8530,192.168.1.236,9325,172.16.0.52,906,udp,ssl,146.07,78154,16129,S1,F,T,55,Fa,35,30673,29,59425
2025-01-01 00:00:04.290,C2111,192.168.1.231,2619,172.16.0.190,545,icmp,ssl,64.02,11125,88902,SF,T,F,1,Dd,15,4321,15,38534
2025-01-01 00:00:04.320,C9519,192.168.1.60,20008,172.16.0.236,133,udp,http,75.56,48641,90937,REJ,T,F,52,Srv,49,4614,4,63788
2025-01-01 00:00:04.350,C7390,192.168.1.43,9270,172.16.0.129,176,icmp,ssh,53.5,19494,35541,SF,F,F,84,ShAD,22,64746,96,11569
2025-01-01 00:00:04.380,C1986,192.168.1.196,32886,172.16.0.180,96,tcp,dns,283.95,51982,24556,S1,T,F,73,Hr,93,3825,85,25783
2025-01-01 00:00:04.410,C4673,192.168.1.25,33613,172.16.0.144,402,tcp,ssh,229.71,69622,83970,SH,T,T,70,Hr,1,31999,78,3998
2025-01-01 00:00:04.440,C3766,192.168.1.44,35953,172.16.0.160,730,icmp,dns,198.36,41478,88757,REJ,F,F,13,Fa,32,20094,75,32170
2025-01-01 00:00:04.470,C8082,192.168.1.209,53115,172.16.0.125,565,udp,ssl,170.08,61343,37485,S0,T,T,41,Hr,67,28118,33,46392
2025-01-01 00:00:04.500,C3724,192.168.1.66,24722,172.16.0.203,27,udp,ssl,91.15,89120,88949,REJ,F,F,78,Fa,5,26110,97,38131
2025-01-01 00:00:04.530,C1409,192.168.1.201,2002,172.16.0.124,347,tcp,http,270.54,83388,39327,SH,F,T,91,Dd,84,35163,3,55950
2025-01-01 00:00:04.560,C7387,192.168.1.245,28905,172.16.0.89,321,udp,-,155.86,10041,1769,S1,T,T,90,Hr,21,10006,96,12577
2025-01-01 00:00:04.590,C1008,192.168.1.240,47977,172.16.0.33,566,icmp,ssl,106.11,722,11080,S0,T,F,31,Fa,9,7030,11,35177
2025-01-01 00:00:04.620,C6524,192.168.1.60,30903,172.16.0.220,743,udp,ftp,171.63,62090,36517,SF,T,F,12,ShAD,86,40943,83,63257
2025-01-01 00:00:04.650,C2600,192.168.1.124,25905,172.16.0.213,1014,udp,-,265.21,47478,92787,S1,F,T,4,Fa,6,1597,23,32179
2025-01-01 00:00:04.680,C3332,192.168.1.223,39743,172.16.0.227,163,tcp,ssh,115.16,24236,9906,SF,T,F,33,Dd,31,45850,77,42945
2025-01-01 00:00:04.710,C5754,192.168.1.244,11136,172.16.0.69,75,udp,http,275.36,69596,69238,S1,T,T,27,Fa,11,21307,89,59773
2025-01-01 00:00:04.740,C8502,192.168.1.83,33790,172.16.0.176,1018,icmp,ssh,19.92,15235,72082,S0,F,F,16,Fa,65,54355,43,8465
2025-01-01 00:00:04.770,C5771,192.168.1.131,47751,172.16.0.44,103,icmp,http,198.11,59956,57390,SF,T,T,21,Fa,52,9121,24,5624
2025-01-01 00:00:04.800,C4364,192.168.1.124,54019,172.16.0.165,136,icmp,-,7.94,77167,49250,S1,F,T,14,ShAD,63,39332,44,57565
2025-01-01 00:00:04.830,C7846,192.168.1.55,58848,172.16.0.97,978,udp,ftp,14.47,14666,31510,S0,F,F,55,Hr,45,25914,84,56031
2025-01-01 00:00:04.860,C1946,192.168.1.41,56749,172.16.0.19,700,udp,dns,288.1,6506,72231,RSTR,F,F,46,Dd,76,13950,34,44777
2025-01-01 00:00:04.890,C9475,192.168.1.25,24021,172.16.0.151,285,icmp,ssh,129.79,44360,55825,SH,F,T,82,Srv,2,16844,44,48135
2025-01-01 00:00:04.920,C9429,192.168.1.124,21089,172.16.0.82,119,tcp,http,269.5,31326,86026,RSTR,T,T,50,ShAD,87,54829,19,38427
2025-01-01 00:00:04.950,C5682,192.168.1.67,22725,172.16.0.115,246,udp,ssh,145.62,45774,84167,SF,T,T,37,Srv,5,40213,44,11148
2025-01-01 00:00:04.980,C3347,192.168.1.88,9138,172.16.0.79,344,udp,ssl,153.23,42526,9596,S1,F,T,75,ShAD,47,61163,42,13966
2025-01-01 00:00:05.010,C2221,192.168.1.34,51650,172.16.0.164,87,udp,ssh,200.24,67203,66418,REJ,F,F,34,Srv,90,48427,69,22637
2025-01-01 00:00:05.040,C6770,192.168.1.83,10056,172.16.0.179,625,udp,ssh,11.36,2992,64641,SH,F,T,36,Srv,14,58580,34,58016
2025-01-01 00:00:05.070,C6640,192.168.1.100,59037,172.16.0.50,260,icmp,ssh,87.96,73105,6513,S1,F,F,83,Hr,9,41707,67,6889
2025-01-01 00:00:05.100,C3642,192.168.1.7,2922,172.16.0.15,311,tcp,http,91.23,92549,19487,REJ,T,F,45,Hr,72,1795,9,38020
